#Sección,Des. Sección,O. Gestor,Des. O. Gestor,Centro Gestor,Des. C. Gestor,Capítulo,Des. Capítulo,Artículo,Des. Artículo,Concepto,Des. Concepto,Subconcepto,Des. Subconcepto,Pos. Presupuestaria,Fondo,Des. Fondo,Presupuesto  2015
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",31,PRESTACIÓN DE SERVICIOS Y PRECIOS PÚBLICOS,315,De asistencia sanitaria,31500,Al Sector Público,I/31500,,,81400
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",31,PRESTACIÓN DE SERVICIOS Y PRECIOS PÚBLICOS,315,De asistencia sanitaria,31501,Al Sector Privado,I/31501,,,21329350
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",31,PRESTACIÓN DE SERVICIOS Y PRECIOS PÚBLICOS,315,De asistencia sanitaria,31503,A Entidades del sistema,I/31503,,,8227610
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,322,Tasas por dirección e inspección de obras,32200,Tasas por dirección e inspección de obras,I/32200,,,58560
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,326,Tasas en materia de sanidad,32600,Tasas en materia de sanidad,I/32600,,,84560
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",32,TASAS,329,Otras tasas,32900,Otras tasas,I/32900,,,95460
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",38,REINTEGROS DE OPERACIONES CORRIENTES,380,De ejercicios cerrados,38000,De ejercicios cerrados,I/38000,,,130840
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",38,REINTEGROS DE OPERACIONES CORRIENTES,381,De presupuesto corriente,38100,De presupuesto corriente,I/38100,,,66180
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,I/39900,,,85350
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E. OO.AA., EE.PP. Y OTROS ENTES PÚBLICOS",432,De diversos Ministerios,43200,De diversos Ministerios,I/43200,,,35553560
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,4,TRANSFERENCIAS CORRIENTES,46,DE CORPORACIONES LOCALES,461,De diputaciones,46100,De diputaciones,I/46100,,,18111240
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,5,INGRESOS PATRIMONIALES,55,"PRODUCTOS, CONCESIONES Y APROVECHAMIENTOS ESPECIAL",550,De concesiones administrativas,55000,De concesiones administrativas,I/55000,,,2014380
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,5,INGRESOS PATRIMONIALES,55,"PRODUCTOS, CONCESIONES Y APROVECHAMIENTOS ESPECIAL",559,Otras concesiones y aprovechamientos,55900,Otras concesiones y aprovechamientos,I/55900,,,125730
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,7,TRANSFERENCIAS DE CAPITAL,73,"DE LA A.E., OO.AA., EE.PP. Y OTROS EE.PP. ESTATALE",730,Fondo de compensación interterritorial,73000,Fondo de compensación interterritorial,I/73000,,,9518330
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,820,A corto plazo,82000,A personal funcionario y no laboral,I/82000,,,24980
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,820,A corto plazo,82001,A personal laboral,I/82001,,,590
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82100,A personal funcionario y no laboral,I/82100,,,524330
61,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,6102,SECRETARIA GENERAL,61020000,SECRETARIA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS CONCEDIDOS,821,A largo plazo,82101,A personal laboral,I/82101,,,10100
